Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Lilies/longiflora,33027.47,30753699.0,03/25/2015 12:00:00 AM
Cut-flowers,Lisianthus/eustoma,78.37,68754.0,03/25/2015 12:00:00 AM
Cut-flowers,Mathiola,35155.43,23268414.0,03/25/2015 12:00:00 AM
Cut-flowers,Mixed flowers,149818.92,66286414.0,03/25/2015 12:00:00 AM
Cut-flowers,Mobbydick,2328.14,758189.0,03/25/2015 12:00:00 AM
Cut-flowers,Molucella,609.75,145893.0,03/25/2015 12:00:00 AM
Cut-flowers,Ornithogulum,19474.25,9476478.0,03/25/2015 12:00:00 AM
Cut-flowers,Papyrus,100.0,27244.0,03/25/2015 12:00:00 AM
Cut-flowers,Phlox,1910.57,153927591.0,03/25/2015 12:00:00 AM
Cut-flowers,Rosemary,1352.98,679478.0,03/25/2015 12:00:00 AM
Cut-flowers,Roses,9935000.52,5231748979.0,03/25/2015 12:00:00 AM
Cut-flowers,Rudbeckia,161.5,45407.0,03/25/2015 12:00:00 AM
Cut-flowers,Ruscus/flower cabbage,6782.01,3760855.0,03/25/2015 12:00:00 AM
Cut-flowers,Scabiosa,2160.34,602496.0,03/25/2015 12:00:00 AM
Cut-flowers,Setaria,5.67,3757.0,03/25/2015 12:00:00 AM
Cut-flowers,Solidago,123424.22,76005376.0,03/25/2015 12:00:00 AM
Cut-flowers,Statice/limonium,93819.94,40994210.0,03/25/2015 12:00:00 AM
Cut-flowers,Strelitzia/birds of paradise,202.04,99754.0,03/25/2015 12:00:00 AM
Cut-flowers,Tuberose,2963.66,765964.0,03/25/2015 12:00:00 AM
Cut-flowers,Veronica,46989.03,12837264.0,03/25/2015 12:00:00 AM
Cut-flowers,Hydrangea,34229.31,18123168.0,03/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums cuttings,1560.0,1244106.0,03/25/2015 12:00:00 AM
Cut-flowers,Cuttings,517194.31,469551985.0,03/25/2015 12:00:00 AM
Cut-flowers,Fuchsia cuttings,44.87,24656.0,03/25/2015 12:00:00 AM
Cut-flowers,Geranium cuttings,609.0,1291615579.0,03/25/2015 12:00:00 AM
Cut-flowers,Osteospermum cuttings,204.0,532940.0,03/25/2015 12:00:00 AM
Cut-flowers,Pelargonium cuttings,2084.13,3557541.0,03/25/2015 12:00:00 AM
Cut-flowers,Rose cuttings,590.0,389305.0,03/25/2015 12:00:00 AM
Fruits,Apple,4443.0,1602913.0,03/25/2015 12:00:00 AM
Fruits,Avocado,2584639.02,280710051.0,03/25/2015 12:00:00 AM
Fruits,Banana,150.0,53052.0,03/25/2015 12:00:00 AM
Fruits,Custard apple / sour sop,26346.0,4824586.0,03/25/2015 12:00:00 AM
Fruits,Lemon,415.75,106560.0,03/25/2015 12:00:00 AM
Fruits,Passion,50506.02,11322102.0,03/25/2015 12:00:00 AM
Fruits,Pawpaw,50.0,10542.0,03/25/2015 12:00:00 AM
